Market,State,Inbound,Outbound,Net Migration,Population,Median HHI,Median Age,Migration Type
"Searcy, AR Micro Area, Arkansas",,2,0,2,80478.39,56026.43063588274,38.8,In-State
"Albany-Schenectady-Troy, NY Metro Area, New York",,7,6,1,915284.36,88558.10432364822,40.5,In-State
"Anchorage, AK Metro Area, Alaska",,65,64,1,411838.25,100554.14985371089,35.6,In-State
"Chattanooga, TN-GA Metro Area, Georgia",,81,80,1,586675.61,72275.1013066281,40.4,In-State
"Fort Leonard Wood, MO Micro Area, Missouri",,9,8,1,57392.83,65977.31860141804,27.8,In-State
"Fort Wayne, IN Metro Area, Indiana",,43,42,1,463130.85,71279.53595511834,36.8,In-State
"Kahului-Wailuku, HI Metro Area, Hawaii",,16,15,1,165816.39,97653.50243036868,43.2,In-State
"Seaford, DE Micro Area, Delaware",,52,51,1,274747.32,81936.46301670308,51.9,In-State
"Shelton, WA Micro Area, Washington",,6,5,1,70508.73,83438.62962903362,44.7,In-State
"Winnemucca, NV Micro Area, Nevada",,17,16,1,18298.29,80349.63988936516,37.7,In-State
"Baton Rouge, LA Metro Area, Louisiana",,11,11,0,879006.5,69872.5251557243,36.2,In-State
"Brookings, OR Micro Area, Oregon",,6,6,0,22048.15,62153.3529383715,57.7,In-State
"Clearlake, CA Micro Area, California",,13,13,0,67801.66,60936.23148289034,44.1,In-State
"Columbia, MO Metro Area, Missouri",,6,6,0,221503.65,72157.37373459004,33.5,In-State
"Ellensburg, WA Micro Area, Washington",,6,6,0,54552.74,73957.22136321853,35.8,In-State
"Greenville-Anderson-Greer, SC Metro Area, South Carolina",,95,95,0,992381.08,71036.95904043558,38.8,In-State
"Jacksonville, NC Metro Area, North Carolina",,13,13,0,230254.47,68395.67096070567,27.7,In-State
"Oshkosh-Neenah, WI Metro Area, Wisconsin",,35,35,0,172261.86,74920.72368990988,38.7,In-State
"Paris, TX Micro Area, Texas",,3,3,0,64634.94,58596.03749942804,41.4,In-State
"Raleigh-Cary, NC Metro Area, North Carolina",,9,9,0,1561092.81,100113.65923280428,37.6,In-State
"Augusta-Richmond County, GA-SC Metro Area, South Carolina",,8,9,-1,647748.55,69433.58316245559,38.3,In-State
"Crossville, TN Micro Area, Tennessee",,34,35,-1,64912.1,60349.91301480134,53.5,In-State
"Dickinson, ND Micro Area, North Dakota",,13,14,-1,39667.39,86327.18570739467,35.3,In-State
"Gardnerville Ranchos, NV-CA Micro Area, Nevada",,5,6,-1,48483.6,92844.90245269786,54.6,In-State
"Hanford-Corcoran, CA Metro Area, California",,41,42,-1,159116.25,71136.00440203506,32.5,In-State
"Joplin, MO-KS Metro Area, Kansas",,3,4,-1,209092.17,61781.03896041164,38.3,In-State
"Kalispell, MT Micro Area, Montana",,22,23,-1,121145.2,73888.94871397763,42.2,In-State
"Nogales, AZ Micro Area, Arizona",,5,6,-1,48259.88,53254.29548464639,37.9,In-State
"Sandusky, OH Metro Area, Ohio",,42,43,-1,114817.17,73345.33562114683,47.1,In-State
"Warner Robins, GA Metro Area, Georgia",,6,7,-1,194269.35,79666.79066692512,36.6,In-State
"Jefferson, GA Micro Area, Georgia",,0,2,-2,81527.32,88650.70389302637,38.1,In-State
"Athens, TX Micro Area, Texas",,0,3,-3,89154.01,65542.19055977426,43.8,In-State
"Columbus, GA-AL Metro Area, Georgia",,5,8,-3,327424.23,59367.5729575585,36.5,In-State
"Cornelia, GA Micro Area, Georgia",,0,3,-3,48286.12,68082.11423339183,39.4,In-State
"Laredo, TX Metro Area, Texas",,0,3,-3,281889.6,63618.71612917015,30,In-State
"Mineral Wells, TX Micro Area, Texas",,0,3,-3,31901.14,67382.75400486331,41.6,In-State
"Moberly, MO Micro Area, Missouri",,0,3,-3,25138.48,53656.19799547808,40,In-State
"Quincy, IL-MO Micro Area, Missouri",,0,3,-3,75069.83,65460.03855450416,41.1,In-State
"St. Joseph, MO-KS Metro Area, Missouri",,0,3,-3,125290.75,65429.44462416459,39.9,In-State
"Spartanburg, SC Metro Area, South Carolina",,89,92,-3,381872.41,64308.915616693506,38.2,In-State
"Sterling, CO Micro Area, Colorado",,26,29,-3,22169.35,52522.68425691531,39.2,In-State
"Williston, ND Micro Area, North Dakota",,3,6,-3,36851.74,84931.40900225034,31.8,In-State
"Amarillo, TX Metro Area, Texas",,6,10,-4,279054.02,70229.14137251415,36.3,In-State
"Carson City, NV Metro Area, Nevada",,6,10,-4,56089.12,71371.85071384526,42.4,In-State
"Duluth, MN-WI Metro Area, Minnesota",,13,17,-4,281355.77,72231.9850165213,41.5,In-State
"Fairbanks-College, AK Metro Area, Alaska",,22,26,-4,108805.85,89707.33986255992,32.5,In-State
"Hickory-Lenoir-Morganton, NC Metro Area, North Carolina",,0,4,-4,371582.76,62620.26665713542,43.5,In-State
"Lafayette, LA Metro Area, Louisiana",,0,4,-4,436301.27,61062.43213896159,37.3,In-State
"Minot, ND Metro Area, North Dakota",,4,8,-4,81481.25,77966.54244102653,34.2,In-State
"New Bern, NC Micro Area, North Carolina",,0,4,-4,131657.07,64057.71017178112,41,In-State
"Odessa, TX Metro Area, Texas",,0,4,-4,178595.91,70908.18341811874,31.4,In-State
"Price, UT Micro Area, Utah",,0,4,-4,20307.83,58645.02899845315,38.6,In-State
"Rocky Mount, NC Metro Area, North Carolina",,0,4,-4,148726.03,59661.87824412354,41.6,In-State
"Rolla, MO Micro Area, Missouri",,0,4,-4,45965.48,58563.15144087779,35.8,In-State
"Slidell-Mandeville-Covington, LA Metro Area, Louisiana",,0,4,-4,261956.5,82066.80704958865,40.5,In-State
"Sweetwater, TX Micro Area, Texas",,0,4,-4,15313.33,50938.445229520614,39.3,In-State
"Tyler, TX Metro Area, Texas",,0,4,-4,256722.9,74135.47594111176,37.5,In-State
"Waco, TX Metro Area, Texas",,0,4,-4,309243.4,66593.07855616324,35.1,In-State
"Allentown-Bethlehem-Easton, PA-NJ Metro Area, Pennsylvania",,0,5,-5,873192.33,85097.82732171359,41.4,In-State
"Brownsville-Harlingen, TX Metro Area, Texas",,3,8,-5,429526.37,52669.87718420883,32.7,In-State
"Fallon, NV Micro Area, Nevada",,0,5,-5,27331.84,78997.0351805038,40.4,In-State
"Gettysburg, PA Metro Area, Pennsylvania",,0,5,-5,102673.17,83653.75754578365,43.7,In-State
"Indiana, PA Micro Area, Pennsylvania",,0,5,-5,83808.02,60208.0305163161,40,In-State
"Lancaster, PA Metro Area, Pennsylvania",,0,5,-5,562726.21,87635.27705680722,39.4,In-State
"Salisbury, MD Metro Area, Maryland",,0,5,-5,134440.54,73505.61237730141,36.6,In-State
"Scranton--Wilkes-Barre, PA Metro Area, Pennsylvania",,0,5,-5,564314.11,65711.35730109822,42.1,In-State
"Watertown-Fort Drum, NY Metro Area, New York",,0,5,-5,115480.34,66907.8412915628,33.7,In-State
"Aberdeen, SD Micro Area, South Dakota",,0,6,-6,43334.22,70615.98370822627,38.3,In-State
"Connersville, IN Micro Area, Indiana",,32,38,-6,23563.41,59418.61977299857,44,In-State
"East Stroudsburg, PA Micro Area, Pennsylvania",,0,6,-6,177288.56,83636.56144432913,44.1,In-State
"Houma-Bayou Cane-Thibodaux, LA Metro Area, Louisiana",,0,6,-6,205668.67,64373.25751516466,38.8,In-State
"Jonesboro, AR Metro Area, Arkansas",,0,6,-6,136296.4,57475.28110150487,35.3,In-State
"Longview, TX Metro Area, Texas",,10,16,-6,295774.27,67001.70134187758,38.1,In-State
"Mount Vernon-Anacortes, WA Metro Area, Washington",,21,27,-6,135150.24,88887.2265272809,42.1,In-State
"Sierra Vista-Douglas, AZ Metro Area, Arizona",,4,10,-6,131705.7,59727.98579747802,43,In-State
"Wilmington, NC Metro Area, North Carolina",,0,6,-6,487407.58,76587.8080841498,45.4,In-State
"Winston-Salem, NC Metro Area, North Carolina",,0,6,-6,695558.52,66662.74895946588,40.7,In-State
"Faribault-Northfield, MN Micro Area, Minnesota",,4,11,-7,73574.24,82908.611899747,37.1,In-State
"San Angelo, TX Metro Area, Texas",,0,7,-7,126948.79,68183.2516486076,36.1,In-State
"Tifton, GA Micro Area, Georgia",,0,7,-7,49157.8,49818.92069510544,37.4,In-State
"Abilene, TX Metro Area, Texas",,0,8,-8,182690.83,67598.96545603542,34.5,In-State
"Buffalo-Cheektowaga, NY Metro Area, New York",,0,8,-8,1125050.23,72285.91387328062,40.9,In-State
"Cody, WY Micro Area, Wyoming",,25,33,-8,33753.33,73221.2165847039,44.9,In-State
"DuBois, PA Micro Area, Pennsylvania",,0,8,-8,78104.87,63194.12664740327,45.4,In-State
"Ogden, UT Metro Area, Utah",,142,150,-8,678081.47,101376.05764329915,33,In-State
"Worcester, MA Metro Area, Massachusetts",,0,8,-8,863932.43,95680.90592361185,40.2,In-State
"Jamestown-Dunkirk, NY Micro Area, New York",,0,9,-9,123254.86,58402.53852838714,42.9,In-State
"Lakeland-Winter Haven, FL Metro Area, Florida",,43,52,-9,877398.9,66901.12271703925,39.5,In-State
"Savannah, GA Metro Area, Georgia",,7,16,-9,427915.21,77538.39103690711,36.9,In-State
"Charleston-North Charleston, SC Metro Area, South Carolina",,256,266,-10,914799.46,85118.8770752649,38.2,In-State
"Bay City, MI Metro Area, Michigan",,0,12,-12,102196.52,62105.49138709105,43.9,In-State
"Hinesville, GA Metro Area, Georgia",,3,15,-12,92814.66,62501.013931548216,29.7,In-State
"Cortland, NY Micro Area, New York",,0,13,-13,48506.8,69777.65799997968,37,In-State
"Kingston, NY Metro Area, New York",,0,13,-13,171396.95,86963.63830557988,44.1,In-State
"Midland, MI Metro Area, Michigan",,0,13,-13,84959.43,78496.59739838445,41.8,In-State
"North Port-Bradenton-Sarasota, FL Metro Area, Florida",,199,212,-13,932574.74,81479.81749569408,53.6,In-State
"Pittsburgh, PA Metro Area, Pennsylvania",,34,47,-13,2387393.5,75803.89004959162,42.8,In-State
"Kalamazoo-Portage, MI Metro Area, Michigan",,0,14,-14,276318.07,72506.93409451036,35,In-State
"Mount Pleasant, MI Micro Area, Michigan",,0,14,-14,75130.7,55505.44541466604,30.1,In-State
"Newport, OR Micro Area, Oregon",,17,31,-14,49019.47,63695.11940453885,52.7,In-State
"Warren, PA Micro Area, Pennsylvania",,0,14,-14,38769.32,60666.43921600508,47.1,In-State
"El Paso, TX Metro Area, Texas",,4,19,-15,863959.74,59754.38557953606,33.6,In-State
"Pottsville, PA Micro Area, Pennsylvania",,0,15,-15,144295.7,68266.65982570642,43.7,In-State
"St. George, UT Metro Area, Utah",,39,54,-15,200567.14,80792.01549888612,39.1,In-State
"Yuba City, CA Metro Area, California",,51,66,-15,192424.35,77946.21908392553,35.4,In-State
"Fort Collins-Loveland, CO Metro Area, Colorado",,123,139,-16,378927.13,93803.93358466926,36.8,In-State
"Gainesville, FL Metro Area, Florida",,22,38,-16,375039.27,61865.231326106994,34.5,In-State
"Rapid City, SD Metro Area, South Dakota",,0,16,-16,160048.07,75257.72618219133,40.6,In-State
"Traverse City, MI Metro Area, Michigan",,0,16,-16,149345.19,81647.52393345363,46.3,In-State
"Panama City-Panama City Beach, FL Metro Area, Florida",,55,72,-17,231419.92,71467.63355954849,41.1,In-State
"Show Low, AZ Micro Area, Arizona",,6,23,-17,116535.19,54344.84996326604,39.5,In-State
"Corvallis, OR Metro Area, Oregon",,32,51,-19,106275.25,76898.56599788518,34.5,In-State
"Lafayette-West Lafayette, IN Metro Area, Indiana",,84,103,-19,251676.39,62511.03748368167,30.8,In-State
"Pensacola-Ferry Pass-Brent, FL Metro Area, Florida",,39,58,-19,533083.25,76166.9180035584,39,In-State
"The Dalles, OR Micro Area, Oregon",,0,20,-20,23661.16,64104.27850494375,41,In-State
"Cullman, AL Micro Area, Alabama",,0,21,-21,85306.76,62707.81630805973,40.8,In-State
"North Platte, NE Micro Area, Nebraska",,0,21,-21,34542.33,66048.17382966286,42.5,In-State
"Beatrice, NE Micro Area, Nebraska",,0,22,-22,21045.28,67355.22148528264,42.6,In-State
"Mason City, IA Micro Area, Iowa",,54,77,-23,49541.13,69757.53667142501,44,In-State
"Mayfield, KY Micro Area, Kentucky",,0,23,-23,38434.85,50876.54362319879,40.4,In-State
"Fort Morgan, CO Micro Area, Colorado",,0,24,-24,31332.9,72624.05607158251,37.5,In-State
"Oxford, MS Micro Area, Mississippi",,0,24,-24,68319.28,65820.21869485684,32.6,In-State
"Albertville, AL Micro Area, Alabama",,0,25,-25,99343.48,64169.494170099155,38.5,In-State
"Durant, OK Micro Area, Oklahoma",,0,25,-25,48469.37,57824.45453515547,37,In-State
"Auburn-Opelika, AL Metro Area, Alabama",,0,26,-26,195417.99,64248.321935644664,34.1,In-State
"Evanston, WY-UT Micro Area, Wyoming",,0,26,-26,23666.6,83848.3652115461,37.3,In-State
"Clarksburg, WV Micro Area, West Virginia",,0,27,-27,89755.36,59929.36621879415,43,In-State
"Coos Bay-North Bend, OR Micro Area, Oregon",,11,38,-27,61703.06,62031.02024509731,48.6,In-State
"Jackson, TN Metro Area, Tennessee",,0,27,-27,181316.06,61295.456669375824,38.8,In-State
"Kearney, NE Micro Area, Nebraska",,35,62,-27,57293.37,76086.59972168086,35.9,In-State
"Saginaw, MI Metro Area, Michigan",,0,27,-27,189675.1,60675.34245408922,41.2,In-State
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area, Florida",,0,27,-27,165802.89,73119.10785421947,55.3,In-State
"Morgantown, WV Metro Area, West Virginia",,0,28,-28,147263.83,64555.05581665691,35.1,In-State
"Atlanta-Sandy Springs-Roswell, GA Metro Area, Georgia",,43,73,-30,6425050.44,90201.4248459812,37.2,In-State
"Eau Claire, WI Metro Area, Wisconsin",,0,31,-31,173814.11,74554.67367698332,38.2,In-State
"Sterling, IL Micro Area, Illinois",,0,31,-31,53586.01,67250.1588608307,43,In-State
"Kingsport-Bristol, TN-VA Metro Area, Tennessee",,0,32,-32,310836.16,58196.12522854084,45.7,In-State
"Mobile, AL Metro Area, Alabama",,0,32,-32,413128.05,58959.56432730946,38.5,In-State
"Huntington-Ashland, WV-KY-OH Metro Area, West Virginia",,0,34,-34,367512.86,59943.2862205161,41.9,In-State
"Richmond, IN Micro Area, Indiana",,0,34,-34,63653.02,56058.0325896831,41,In-State
"Wildwood-The Villages, FL Metro Area, Florida",,32,66,-34,157257.7,76563.0649411911,68.5,In-State
"Grand Rapids-Wyoming-Kentwood, MI Metro Area, Michigan",,0,35,-35,1181153.79,83369.24879790847,36.8,In-State
"Greencastle, IN Micro Area, Indiana",,0,35,-35,38476.62,77278.01079789289,38.4,In-State
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area, South Carolina",,0,35,-35,414486.78,66768.14266260559,48.7,In-State
"Cedar Rapids, IA Metro Area, Iowa",,0,39,-39,277959.31,78445.8007132691,39.7,In-State
"Eugene-Springfield, OR Metro Area, Oregon",,77,116,-39,391767.67,71348.51788710387,40.3,In-State
"Clarksdale, MS Micro Area, Mississippi",,0,42,-42,23202,37529.22883179954,35.9,In-State
"Roanoke, VA Metro Area, Virginia",,0,42,-42,315383.38,69312.07549367427,42.8,In-State
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area, Florida",,186,229,-43,6899257.01,76600.67761064172,41.8,In-State
"Breckenridge, CO Micro Area, Colorado",,0,44,-44,41815.01,107114.74533796919,39.1,In-State
"Lima, OH Metro Area, Ohio",,0,44,-44,104637.57,64736.04574987441,39.7,In-State
"Montgomery, AL Metro Area, Alabama",,0,44,-44,379274.5,64417.01328862129,38,In-State
"Palm Bay-Melbourne-Titusville, FL Metro Area, Florida",,95,139,-44,652969.7,79572.87067131819,46.7,In-State
"Yuma, AZ Metro Area, Arizona",,71,115,-44,236319.05,63383.579277334036,36.1,In-State
"Canton-Massillon, OH Metro Area, Ohio",,0,45,-45,396728.39,67782.23338665413,42.1,In-State
"Silver City, NM Micro Area, New Mexico",,0,47,-47,26349.85,44960.60057670487,49.5,In-State
"Las Cruces, NM Metro Area, New Mexico",,0,48,-48,229914.86,57292.2261454292,34.3,In-State
"South Bend-Mishawaka, IN-MI Metro Area, Michigan",,0,50,-50,331542.04,67498.53092217259,37.9,In-State
"Ann Arbor, MI Metro Area, Michigan",,19,70,-51,403614.3,88952.55889599392,35,In-State
"Boston-Cambridge-Newton, MA-NH Metro Area, New Hampshire",,25,77,-52,5165775.82,116315.01453313328,39.3,In-State
"Lawrence, KS Metro Area, Kansas",,0,52,-52,127093.25,70602.52432864235,31.6,In-State
"Detroit-Warren-Dearborn, MI Metro Area, Michigan",,20,73,-53,4399449.7,76729.96131758142,40.3,In-State
"Carbondale, IL Micro Area, Illinois",,0,55,-55,60500.4,48885.368454973606,32.4,In-State
"Corbin, KY Micro Area, Kentucky",,0,56,-56,148430.75,46483.591371955205,39,In-State
"Owensboro, KY Metro Area, Kentucky",,0,56,-56,111177.26,67773.80130105605,39,In-State
"Cañon City, CO Micro Area, Colorado",,0,57,-57,47524.91,63777.6799707294,44.7,In-State
"Ponca City, OK Micro Area, Oklahoma",,0,59,-59,43555.68,58650.39293603847,38.5,In-State
"San Antonio-New Braunfels, TX Metro Area, Texas",,55,114,-59,2837499.78,76332.99800295764,35.9,In-State
"Los Alamos, NM Micro Area, New Mexico",,0,61,-61,20370.34,146412.6915629196,39.3,In-State
"Santa Fe, NM Metro Area, New Mexico",,0,65,-65,154540.87,79203.32835343546,48.7,In-State
"Clarksville, TN-KY Metro Area, Kentucky",,75,141,-66,340230.01,69670.00511174639,32.1,In-State
"Frankfort, KY Micro Area, Kentucky",,0,72,-72,74288.33,69884.29178959165,41.2,In-State
"Indianapolis-Carmel-Greenwood, IN Metro Area, Indiana",,127,202,-75,2153109.97,80541.73284191979,36.9,In-State
"Cheyenne, WY Metro Area, Wyoming",,96,174,-78,103036.86,80794.58399034315,38.5,In-State
"Macomb, IL Micro Area, Illinois",,0,79,-79,30329.92,54355.86215268355,34.9,In-State
"Boulder, CO Metro Area, Colorado",,0,82,-82,337057.87,104962.94362858492,37.7,In-State
"Sevierville, TN Micro Area, Tennessee",,0,82,-82,99940.68,62889.48689810588,43.5,In-State
"Knoxville, TN Metro Area, Tennessee",,56,139,-83,949227.63,72347.19841095801,40.6,In-State
"Ocala, FL Metro Area, Florida",,22,108,-86,421439.15,61093.72154237765,47.9,In-State
"Richmond, VA Metro Area, Virginia",,99,186,-87,1317624.4,87110.82128090857,38.8,In-State
"Dayton-Kettering-Beavercreek, OH Metro Area, Ohio",,46,138,-92,823463.77,71768.2541131589,39.1,In-State
"Jacksonville, FL Metro Area, Florida",,119,213,-94,1725082.9,80177.39162802133,39.3,In-State
"Des Moines-West Des Moines, IA Metro Area, Iowa",,74,175,-101,744828.59,86660.5743887439,36.8,In-State
"Concord, NH Micro Area, New Hampshire",,0,104,-104,154523.29,97114.88178266886,42.9,In-State
"Lawton, OK Metro Area, Oklahoma",,0,124,-124,129414.07,60961.88925093357,34.4,In-State
"Colorado Springs, CO Metro Area, Colorado",,256,389,-133,793730.53,90960.32514333575,35.5,In-State
"Cleveland, OH Metro Area, Ohio",,367,514,-147,2147765.63,70718.05704057778,41.6,In-State
"Norwich-New London-Willimantic, CT Metro Area, Connecticut",,0,151,-151,240701.29,87198.80157544013,41.1,In-State
"Burlington-South Burlington, VT Metro Area, Vermont",,0,181,-181,231875.06,93505.03042900741,38.5,In-State
"Moscow, ID Micro Area, Idaho",,216,431,-215,45121.18,65984.43343861318,30.6,Cross-State
"Oklahoma City, OK Metro Area, Oklahoma",,156,390,-234,1475208.87,72191.94169777248,36,In-State
