Market,State,Inbound,Outbound,Net Migration,Population,Median HHI,Median Age,Migration Type
"Laramie, WY Micro Area, Wyoming",,186,25,161,43434.15,61953.14909800763,28.6,In-State
"Cincinnati, OH-KY-IN Metro Area, Indiana",,154,0,154,2289008.33,81610.72046180579,38.2,In-State
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area, Virginia",,197,61,136,1815792.24,82964.55298081634,37.4,In-State
"Omaha, NE-IA Metro Area, Nebraska",,175,59,116,999745.64,85407.07232258223,36.6,In-State
"San Jose-Sunnyvale-Santa Clara, CA Metro Area, California",,231,115,116,2072665.4,163631.30833796778,38,In-State
"Sioux City, IA-NE-SD Metro Area, Nebraska",,116,0,116,144515.22,75213.35445219437,36.2,In-State
"Las Vegas-Henderson-North Las Vegas, NV Metro Area, Nevada",,220,105,115,2493359.4,76728.73803129318,38.5,In-State
"Bloomington, IN Metro Area, Indiana",,111,0,111,183931.38,65611.71428060174,33.1,In-State
"Idaho Falls, ID Metro Area, Idaho",,207,101,106,167654.2,80973.25987811227,33.5,Cross-State
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area, Pennsylvania",,117,12,105,6299036.56,91570.91818068258,39.3,In-State
"Jackson, WY-ID Micro Area, Wyoming",,150,46,104,37592.3,117924.29549574832,40,In-State
"Daphne-Fairhope-Foley, AL Metro Area, Alabama",,103,0,103,244996.88,78200.66436750274,43.9,In-State
"Provo-Orem-Lehi, UT Metro Area, Utah",,173,72,101,784203.09,100972.54878206084,25.8,In-State
"Waterloo-Cedar Falls, IA Metro Area, Iowa",,100,0,100,172581.01,70398.40889331143,36.8,In-State
"Richmond, VA Metro Area, Virginia",,99,0,99,1317624.4,87110.82128090857,38.8,In-State
"Stockton-Lodi, CA Metro Area, California",,177,82,95,805224.4,93025.68446393317,35.4,In-State
"New York-Newark-Jersey City, NY-NJ Metro Area, New York",,115,25,90,19871736.93,99202.74847524318,39.5,In-State
"Dover, DE Metro Area, Delaware",,87,0,87,194566.12,74532.53920559831,38.8,In-State
"Modesto, CA Metro Area, California",,171,84,87,559970.58,82208.25304249153,34.9,In-State
"Wisconsin Rapids-Marshfield, WI Micro Area, Wisconsin",,85,0,85,72194.63,66854.52157014016,43.8,In-State
"Peoria, IL Metro Area, Illinois",,83,0,83,358131.54,72232.45072325093,40.1,In-State
"Blacksburg-Christiansburg-Radford, VA Metro Area, Virginia",,82,0,82,189885.91,66318.96783616616,35.1,In-State
"Davenport-Moline-Rock Island, IA-IL Metro Area, Illinois",,80,0,80,383042.46,72991.50142537229,40.4,In-State
"Iowa City, IA Metro Area, Iowa",,78,0,78,189032.94,75105.12012092253,32.1,In-State
"Bakersfield-Delano, CA Metro Area, California",,117,41,76,942690.17,70254.95081928253,32.7,In-State
"Murrells Inlet, SC Micro Area, South Carolina",,75,0,75,64406.37,67902.6592787889,52.2,In-State
"Phoenix-Mesa-Chandler, AZ Metro Area, Arizona",,468,395,73,5492568.17,88871.75782666686,37.9,In-State
"Cape Coral-Fort Myers, FL Metro Area, Florida",,71,0,71,898926.68,76111.04554563938,49,In-State
"Rock Springs, WY Micro Area, Wyoming",,68,0,68,44105.67,75050.26473904448,37.9,In-State
"Edwards, CO Micro Area, Colorado",,67,0,67,54451.98,104737.79425525201,39.7,In-State
"Salina, KS Micro Area, Kansas",,67,0,67,61467.25,66469.75599233765,40.2,In-State
"Eureka-Arcata, CA Micro Area, California",,65,0,65,136845.32,61642.672404115314,39.9,In-State
"Waterbury-Shelton, CT Metro Area, Connecticut",,65,0,65,452316.75,87671.66368681574,41.8,In-State
"Lincoln, NE Metro Area, Nebraska",,63,0,63,352979.32,75050.71877141214,34.5,In-State
"Jacksonville, FL Metro Area, Florida",,87,25,62,1725082.9,80177.39162802133,39.3,In-State
"San Luis Obispo-Paso Robles, CA Metro Area, California",,96,35,61,329182.85,97610.23355197982,40.4,In-State
"Elizabethtown, KY Metro Area, Kentucky",,60,0,60,129357.38,66972.18731042524,37.6,In-State
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area, Florida",,118,61,57,6899257.01,76600.67761064172,41.8,In-State
"Charlottesville, VA Metro Area, Virginia",,55,0,55,230566.95,93384.71169551539,39.4,In-State
"Hartford-West Hartford-East Hartford, CT Metro Area, Connecticut",,55,0,55,1147059.01,95149.68401109631,40.8,In-State
"Houston-Pasadena-The Woodlands, TX Metro Area, Texas",,95,40,55,7966340.44,83126.4100549336,35.4,In-State
"Gaffney, SC Micro Area, South Carolina",,53,0,53,59849.68,50367.95719353728,40.4,In-State
"Santa Maria-Santa Barbara, CA Metro Area, California",,98,45,53,487937.14,98308.9367478641,34.6,In-State
"Spokane-Spokane Valley, WA Metro Area, Washington",,131,80,51,594793.88,77584.82776234884,39.1,In-State
"Redding, CA Metro Area, California",,90,40,50,177235.93,72982.5418370852,41.7,In-State
"Tallahassee, FL Metro Area, Florida",,50,0,50,406942.94,65486.31738412533,34.8,In-State
"Visalia, CA Metro Area, California",,62,12,50,479508.78,71105.42871961038,32.1,In-State
"Ozark, AL Micro Area, Alabama",,49,0,49,47643.8,55361.34360912946,37.7,In-State
"Carroll, IA Micro Area, Iowa",,48,0,48,19212.95,71378.59531442578,41.1,In-State
"Ontario, OR-ID Micro Area, Oregon",,417,371,46,59525,61686.12015152038,37.6,In-State
"Ukiah, CA Micro Area, California",,46,0,46,88067.44,68618.19131515361,44.1,In-State
"Chico, CA Metro Area, California",,74,31,43,233402.25,68302.41844092823,36.2,In-State
"Lakeland-Winter Haven, FL Metro Area, Florida",,43,0,43,877398.9,66901.12271703925,39.5,In-State
"Tulsa, OK Metro Area, Oklahoma",,110,67,43,1047607.91,69899.98098502663,37.4,In-State
"Green Bay, WI Metro Area, Wisconsin",,42,0,42,334937.18,79874.89942007913,39.5,In-State
"Sandusky, OH Metro Area, Ohio",,42,0,42,114817.17,73345.33562114683,47.1,In-State
"Springfield, OH Metro Area, Ohio",,42,0,42,133990.08,63493.09542741063,41.2,In-State
"Rockford, IL Metro Area, Illinois",,41,0,41,333408.07,68437.80425551215,39.6,In-State
"Dallas-Fort Worth-Arlington, TX Metro Area, Texas",,123,83,40,8452834.28,90882.67302641993,35.6,In-State
"Tucson, AZ Metro Area, Arizona",,56,16,40,1108074.64,70370.69414854399,39.8,In-State
"Lafayette-West Lafayette, IN Metro Area, Indiana",,39,0,39,251676.39,62511.03748368167,30.8,In-State
"Homosassa Springs, FL Metro Area, Florida",,38,0,38,161557.48,56102.72278082794,56.9,In-State
"Huntsville, AL Metro Area, Alabama",,38,0,38,521763.13,85372.11502613504,38.8,In-State
"Manhattan, KS Metro Area, Kansas",,38,0,38,141287.97,65913.824047828,27.3,In-State
"Yuba City, CA Metro Area, California",,38,0,38,192424.35,77946.21908392553,35.4,In-State
"Austin-Round Rock-San Marcos, TX Metro Area, Texas",,45,8,37,2569546.6,100501.66652525053,36,In-State
"Sandpoint, ID Micro Area, Idaho",,47,10,37,51139.95,67293.99688489285,48.1,Cross-State
"Danville, IL Micro Area, Illinois",,36,0,36,71951.31,57283.18621717211,41.3,In-State
"Bremerton-Silverdale-Port Orchard, WA Metro Area, Washington",,56,22,34,279458.92,104722.9097692997,40.2,In-State
"Crossville, TN Micro Area, Tennessee",,34,0,34,64912.1,60349.91301480134,53.5,In-State
"Logan, UT-ID Metro Area, Utah",,65,31,34,158765.47,81340.97248337712,26.8,In-State
"Santa Cruz-Watsonville, CA Metro Area, California",,67,34,33,272064.46,111053.987331157,39.8,In-State
"Truckee-Grass Valley, CA Micro Area, California",,33,0,33,96560.33,90457.251814352,50.1,In-State
"La Crosse-Onalaska, WI-MN Metro Area, Wisconsin",,32,0,32,167410.13,73480.19118979006,39.3,In-State
"Marietta, OH Micro Area, Ohio",,32,0,32,59346.45,64178.34880465626,44,In-State
"Rifle, CO Micro Area, Colorado",,32,0,32,80429.8,94178.62765270534,39.3,In-State
"Blackfoot, ID Micro Area, Idaho",,35,5,30,50887.73,77597.00141996227,35,Cross-State
"Champaign-Urbana, IL Metro Area, Illinois",,55,25,30,264794.57,66262.43286195837,32,In-State
"Greenwood, SC Micro Area, South Carolina",,30,0,30,95861.65,52892.35948529116,40.9,In-State
"Salem, OH Micro Area, Ohio",,30,0,30,95810.17,58030.038175379166,44.6,In-State
"Spartanburg, SC Metro Area, South Carolina",,89,59,30,381872.41,64308.915616693506,38.2,In-State
"Stevens Point-Plover, WI Micro Area, Wisconsin",,30,0,30,73947.92,76396.19963680775,38,In-State
"Baker City, OR Micro Area, Oregon",,43,14,29,15460.38,61540.91016744179,47,In-State
"Crescent City, CA Micro Area, California",,57,28,29,27656.07,67788.31097598914,39.9,In-State
"Kokomo, IN Metro Area, Indiana",,29,0,29,83397.74,64338.858401036894,40.7,In-State
"Tahlequah, OK Micro Area, Oklahoma",,29,0,29,50642.62,53917.17998440002,37.3,In-State
"Tullahoma-Manchester, TN Micro Area, Tennessee",,29,0,29,65495.92,61634.53057355966,39.8,In-State
"Bedford, IN Micro Area, Indiana",,28,0,28,44642.25,66716.4438468494,43.3,In-State
"Billings, MT Metro Area, Montana",,38,10,28,189164.06,77705.10742974051,39.9,In-State
"Helena, MT Metro Area, Montana",,33,5,28,92112.87,79501.10885778576,42.6,In-State
"Lewiston, ID-WA Metro Area, Washington",,51,23,28,63627.63,72359.50876519745,42.8,In-State
"Lynchburg, VA Metro Area, Virginia",,59,31,28,265833.89,67941.43584431263,40,In-State
"Winchester, VA-WV Metro Area, Virginia",,28,0,28,145495.2,84365.39101423416,41.2,In-State
"Columbus, NE Micro Area, Nebraska",,27,0,27,47709.48,75563.802749556,37.1,In-State
"Medford, OR Metro Area, Oregon",,62,35,27,217928.26,73734.99181827469,42.8,In-State
"Salem, OR Metro Area, Oregon",,84,57,27,447549.77,79207.41916177643,37.5,In-State
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area, Florida",,50,24,26,736938.15,71584.91010314616,47.8,In-State
"Platteville, WI Micro Area, Wisconsin",,26,0,26,50230.59,67366.97833957383,36.8,In-State
"Sterling, CO Micro Area, Colorado",,26,0,26,22169.35,52522.68425691531,39.2,In-State
"Cody, WY Micro Area, Wyoming",,25,0,25,33753.33,73221.2165847039,44.9,In-State
"Carlsbad-Artesia, NM Micro Area, New Mexico",,24,0,24,58325.83,77819.53298427878,36.2,In-State
"Gillette, WY Micro Area, Wyoming",,45,21,24,48455.65,91123.21142164296,36.3,In-State
"Red Bluff, CA Micro Area, California",,24,0,24,62498.95,64454.35488645638,40,In-State
"Shawnee, OK Micro Area, Oklahoma",,24,0,24,74467.27,61519.77719834125,37.9,In-State
"Coeur d'Alene, ID Metro Area, Idaho",,94,71,23,180033.66,82246.9396714897,40.9,Cross-State
"Oak Harbor, WA Micro Area, Washington",,35,12,23,84225.92,92129.53079890319,44.8,In-State
"Astoria, OR Micro Area, Oregon",,22,0,22,40680.14,71466.8627607898,46,In-State
"Gainesville, FL Metro Area, Florida",,22,0,22,375039.27,61865.231326106994,34.5,In-State
"Klamath Falls, OR Micro Area, Oregon",,27,5,22,67326.45,58699.863130729274,41.3,In-State
"Pullman, WA Micro Area, Washington",,41,19,22,59734.37,55146.58332210349,26.4,In-State
"Bend, OR Metro Area, Oregon",,93,73,20,249444.45,90650.02704407729,43,In-State
"Crestview-Fort Walton Beach-Destin, FL Metro Area, Florida",,20,0,20,311927.11,83091.94343372932,39.3,In-State
"Denver-Aurora-Centennial, CO Metro Area, Colorado",,500,480,20,3104620.04,106104.44597864588,37.3,In-State
"Missoula, MT Metro Area, Montana",,33,13,20,131246.57,74989.26910161694,37.5,In-State
"Napa, CA Metro Area, California",,32,12,20,131934.16,112492.73047675817,42.9,In-State
"Reno, NV Metro Area, Nevada",,76,56,20,564801.92,87733.9559602288,39.5,In-State
"Ann Arbor, MI Metro Area, Michigan",,19,0,19,403614.3,88952.55889599392,35,In-State
"Bozeman, MT Metro Area, Montana",,38,19,19,124206.6,95089.43271860607,34.2,In-State
"Longview-Kelso, WA Metro Area, Washington",,37,18,19,116220.8,76590.58800959864,41.5,In-State
"Salt Lake City-Murray, UT Metro Area, Utah",,153,134,19,1325902.25,98225.30405780263,33.9,In-State
"Elko, NV Micro Area, Nevada",,54,36,18,57549.07,84352.3470546183,36.1,In-State
"Hagerstown-Martinsburg, MD-WV Metro Area, West Virginia",,54,36,18,306899.99,79453.94989494426,40.2,In-State
"Yakima, WA Metro Area, Washington",,42,24,18,258810.49,70536.73027994018,33.3,In-State
"Albany, OR Metro Area, Oregon",,21,4,17,131638.84,76347.77550029136,40.1,In-State
"Salinas, CA Metro Area, California",,50,33,17,456542.03,97250.01589722846,35.5,In-State
"Columbia, SC Metro Area, South Carolina",,158,142,16,888721.51,68626.76374682487,37.6,In-State
"Spearfish, SD Micro Area, South Dakota",,16,0,16,27148.07,72290.86025903079,44.8,In-State
"Durango, CO Micro Area, Colorado",,49,34,15,57074.95,85776.1431289544,43.2,In-State
"Hanford-Corcoran, CA Metro Area, California",,41,26,15,159116.25,71136.00440203506,32.5,In-State
"Lake Havasu City-Kingman, AZ Metro Area, Arizona",,29,14,15,235323.19,57937.94345839854,53.6,In-State
"Ogden, UT Metro Area, Utah",,58,43,15,678081.47,101376.05764329915,33,In-State
"Alpena, MI Micro Area, Michigan",,14,0,14,29115.63,54138.51040498857,47.8,In-State
"Grants Pass, OR Metro Area, Oregon",,19,5,14,86407.64,60078.51521454136,47.3,In-State
"Marquette, MI Micro Area, Michigan",,14,0,14,64006.62,65935.36803960026,39.3,In-State
"Merced, CA Metro Area, California",,14,0,14,294307.13,66042.28211973209,31.8,In-State
"Mount Vernon-Anacortes, WA Metro Area, Washington",,14,0,14,135150.24,88887.2265272809,42.1,In-State
"Roseburg, OR Micro Area, Oregon",,18,4,14,109908.11,61912.21667018831,46.5,In-State
"Sonora, CA Micro Area, California",,14,0,14,56395.32,77597.19627268234,48.4,In-State
"Susanville, CA Micro Area, California",,14,0,14,27088.87,67790.62663176097,38.3,In-State
"Centralia, WA Micro Area, Washington",,12,0,12,88523.4,74810.36236896717,42.2,In-State
"Rochester, NY Metro Area, New York",,12,0,12,1056344.9,76401.88886024391,40.7,In-State
"Wenatchee-East Wenatchee, WA Metro Area, Washington",,12,0,12,125871.93,81997.51911291458,39.8,In-State
"Flagstaff, AZ Metro Area, Arizona",,22,11,11,150990.32,73080.9144272491,32.8,In-State
"Great Falls, MT Metro Area, Montana",,16,5,11,82053.8,67044.59273094099,38.6,In-State
"Juneau, AK Micro Area, Alaska",,17,6,11,32703.41,102081.54830911406,40,In-State
"Brookings, SD Micro Area, South Dakota",,10,0,10,38233.35,70803.15638058343,28,In-State
"Mountain Home, ID Micro Area, Idaho",,201,191,10,31954.41,66194.35706156203,33.1,Cross-State
"Olympia-Lacey-Tumwater, WA Metro Area, Washington",,25,15,10,303163.35,96312.53862501105,40,In-State
"St. George, UT Metro Area, Utah",,15,5,10,200567.14,80792.01549888612,39.1,In-State
"Aberdeen, WA Micro Area, Washington",,9,0,9,71908.26,64415.565606956676,44.7,In-State
"Goldsboro, NC Metro Area, North Carolina",,9,0,9,128476.22,59781.17193040247,37.3,In-State
"Lake Charles, LA Metro Area, Louisiana",,9,0,9,233429.42,66829.24382948248,37.6,In-State
"Tampa-St. Petersburg-Clearwater, FL Metro Area, Florida",,174,165,9,3508528.22,74423.36649971723,42.2,In-State
"Dickinson, ND Micro Area, North Dakota",,13,5,8,39667.39,86327.18570739467,35.3,In-State
"Springfield, MO Metro Area, Missouri",,11,3,8,485327.12,65636.05283663674,37.3,In-State
"Hailey, ID Micro Area, Idaho",,31,24,7,32387.67,86802.97287393572,44,Cross-State
"Kalispell, MT Micro Area, Montana",,17,10,7,121145.2,73888.94871397763,42.2,In-State
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area, New York",,7,0,7,711742.11,98428.45743204042,39.4,In-State
"Albemarle, NC Micro Area, North Carolina",,6,0,6,65698.59,60752.61178607653,40.5,In-State
"Asheville, NC Metro Area, North Carolina",,6,0,6,407812.53,71975.92587857986,44,In-State
"Bellingham, WA Metro Area, Washington",,23,17,6,248232.55,82153.89266261163,38.4,In-State
"Butte-Silver Bow, MT Micro Area, Montana",,6,0,6,34757.34,61299.42407216469,40.5,In-State
"Durham-Chapel Hill, NC Metro Area, North Carolina",,6,0,6,642678.5,85128.30403301865,37.9,In-State
"Greensboro-High Point, NC Metro Area, North Carolina",,12,6,6,804528.12,65697.36949484069,38.9,In-State
"Killeen-Temple, TX Metro Area, Texas",,10,4,6,503768.67,69391.61269224845,32.8,In-State
"Lufkin, TX Micro Area, Texas",,6,0,6,88404.59,61193.76458145234,37.8,In-State
"Reading, PA Metro Area, Pennsylvania",,6,0,6,441221.55,80403.78837496864,39.9,In-State
"Utica-Rome, NY Metro Area, New York",,6,0,6,289748.54,70250.48042252153,41.7,In-State
"Winnemucca, NV Micro Area, Nevada",,11,5,6,18298.29,80349.63988936516,37.7,In-State
"Baton Rouge, LA Metro Area, Louisiana",,5,0,5,879006.5,69872.5251557243,36.2,In-State
"Fayetteville, NC Metro Area, North Carolina",,10,5,5,417346.66,62089.2650289148,32.3,In-State
"Gardnerville Ranchos, NV-CA Micro Area, Nevada",,5,0,5,48483.6,92844.90245269786,54.6,In-State
"Kapaa, HI Micro Area, Hawaii",,10,5,5,70894.38,96900.6564699857,43.1,In-State
"Macon-Bibb County, GA Metro Area, Georgia",,5,0,5,231279.75,59565.29887270705,38.6,In-State
"Massena-Ogdensburg, NY Micro Area, New York",,5,0,5,106992.6,63379.654924683964,39.3,In-State
"Moses Lake, WA Micro Area, Washington",,5,0,5,104366.7,73034.11522194748,33.7,In-State
"Nogales, AZ Micro Area, Arizona",,5,0,5,48259.88,53254.29548464639,37.9,In-State
"Othello, WA Micro Area, Washington",,5,0,5,22275.72,66281.8928988407,29.3,In-State
"Pocatello, ID Metro Area, Idaho",,133,128,5,92822.61,67110.32903777885,35.2,Cross-State
"Rexburg, ID Micro Area, Idaho",,145,140,5,58402.85,63420.36953164114,22.4,Cross-State
"Sioux Falls, SD-MN Metro Area, Minnesota",,8,3,5,301655.31,82757.87675655614,36.3,In-State
"Vallejo, CA Metro Area, California",,62,57,5,460636.22,100398.71472041876,39.2,In-State
"Willmar, MN Micro Area, Minnesota",,5,0,5,48152.43,77135.91498777343,40,In-State
"Augusta-Richmond County, GA-SC Metro Area, South Carolina",,8,4,4,647748.55,69433.58316245559,38.3,In-State
"Cedar City, UT Micro Area, Utah",,9,5,4,61761.01,67557.62308308782,30.2,In-State
"Chambersburg, PA Metro Area, Pennsylvania",,4,0,4,162660.12,77330.16779000775,42.1,In-State
"College Station-Bryan, TX Metro Area, Texas",,4,0,4,311070.5,60230.66137042312,28.6,In-State
"Douglas, GA Micro Area, Georgia",,4,0,4,52669.89,49103.578804406505,36,In-State
"Fargo, ND-MN Metro Area, Minnesota",,4,0,4,266648.7,77063.1194121801,33,In-State
"Faribault-Northfield, MN Micro Area, Minnesota",,4,0,4,73574.24,82908.611899747,37.1,In-State
"Gainesville, GA Metro Area, Georgia",,4,0,4,222895.59,80876.1496647657,38.4,In-State
"Nacogdoches, TX Micro Area, Texas",,4,0,4,67958.71,53422.10571445829,31.9,In-State
"Prescott Valley-Prescott, AZ Metro Area, Arizona",,20,16,4,259048.01,70192.25552576246,55.1,In-State
"Sherman-Denison, TX Metro Area, Texas",,7,3,4,165745.58,72206.03734135866,39,In-State
"Syracuse, NY Metro Area, New York",,4,0,4,655136.36,75580.24425798774,40.1,In-State
"Wichita Falls, TX Metro Area, Texas",,8,4,4,159687.25,65673.35802129329,36.6,In-State
"Brigham City, UT-ID Micro Area, Utah",,18,15,3,67050.98,83764.47416017769,33.7,In-State
"Eagle Pass, TX Metro Area, Texas",,3,0,3,58184.81,49610.238241131934,30.3,In-State
"Jacksonville, NC Metro Area, North Carolina",,8,5,3,230254.47,68395.67096070567,27.7,In-State
"Orlando-Kissimmee-Sanford, FL Metro Area, Florida",,102,99,3,3021513.78,78747.32685598376,38.5,In-State
"Paris, TX Micro Area, Texas",,3,0,3,64634.94,58596.03749942804,41.4,In-State
"Shreveport-Bossier City, LA Metro Area, Louisiana",,6,3,3,389720.87,56278.78013127649,38.6,In-State
"Warner Robins, GA Metro Area, Georgia",,3,0,3,194269.35,79666.79066692512,36.6,In-State
"Lubbock, TX Metro Area, Texas",,6,4,2,379895.79,63970.03701042049,32.4,In-State
"McAllen-Edinburg-Mission, TX Metro Area, Texas",,8,6,2,934640.64,54368.88093194877,30.5,In-State
"Naples-Marco Island, FL Metro Area, Florida",,34,32,2,423517.01,90746.54563715361,53.3,In-State
"Searcy, AR Micro Area, Arkansas",,2,0,2,80478.39,56026.43063588274,38.8,In-State
"Albany-Schenectady-Troy, NY Metro Area, New York",,7,6,1,915284.36,88558.10432364822,40.5,In-State
"Anchorage, AK Metro Area, Alaska",,47,46,1,411838.25,100554.14985371089,35.6,In-State
"Corpus Christi, TX Metro Area, Texas",,5,4,1,459200.48,67752.44731223714,37.8,In-State
"Little Rock-North Little Rock-Conway, AR Metro Area, Arkansas",,5,4,1,760845.72,67445.2941732531,37.6,In-State
"Fayetteville-Springdale-Rogers, AR Metro Area, Arkansas",,14,14,0,595750.48,82124.13373908581,34.7,In-State
"Grand Junction, CO Metro Area, Colorado",,50,50,0,159117,73544.3486268242,41.3,In-State
"Heber, UT Micro Area, Utah",,7,7,0,79514.39,126739.33814095214,39.2,In-State
"Milwaukee-Waukesha, WI Metro Area, Wisconsin",,158,158,0,1601543.79,78365.28091443398,38.7,In-State
"Minot, ND Metro Area, North Dakota",,4,4,0,81481.25,77966.54244102653,34.2,In-State
"Oshkosh-Neenah, WI Metro Area, Wisconsin",,35,35,0,172261.86,74920.72368990988,38.7,In-State
"Williston, ND Micro Area, North Dakota",,3,3,0,36851.74,84931.40900225034,31.8,In-State
"Burley, ID Micro Area, Idaho",,32,33,-1,47857.99,70834.00972471233,33.7,Cross-State
"Colorado Springs, CO Metro Area, Colorado",,113,114,-1,793730.53,90960.32514333575,35.5,In-State
"Dayton-Kettering-Beavercreek, OH Metro Area, Ohio",,46,47,-1,823463.77,71768.2541131589,39.1,In-State
"Pueblo, CO Metro Area, Colorado",,26,27,-1,171018.13,64867.222558190806,40.4,In-State
"Sierra Vista-Douglas, AZ Metro Area, Arizona",,4,5,-1,131705.7,59727.98579747802,43,In-State
"Jefferson, GA Micro Area, Georgia",,0,2,-2,81527.32,88650.70389302637,38.1,In-State
"New Orleans-Metairie, LA Metro Area, Louisiana",,8,10,-2,1013062.55,63034.36051018875,39.2,In-State
"Pahrump, NV Micro Area, Nevada",,17,19,-2,51663.12,60588.75429397553,52.5,In-State
"Savannah, GA Metro Area, Georgia",,0,2,-2,427915.21,77538.39103690711,36.9,In-State
"Urban Honolulu, HI Metro Area, Hawaii",,22,24,-2,973143.89,106598.57058498438,39.8,In-State
"Athens, TX Micro Area, Texas",,0,3,-3,89154.01,65542.19055977426,43.8,In-State
"Birmingham, AL Metro Area, Alabama",,24,27,-3,1164319.65,71776.17399653934,38.9,In-State
"Cornelia, GA Micro Area, Georgia",,0,3,-3,48286.12,68082.11423339183,39.4,In-State
"Houma-Bayou Cane-Thibodaux, LA Metro Area, Louisiana",,0,3,-3,205668.67,64373.25751516466,38.8,In-State
"Lexington-Fayette, KY Metro Area, Kentucky",,43,46,-3,554493.92,72247.8862410212,36.7,In-State
"Moberly, MO Micro Area, Missouri",,0,3,-3,25138.48,53656.19799547808,40,In-State
"St. Joseph, MO-KS Metro Area, Missouri",,0,3,-3,125290.75,65429.44462416459,39.9,In-State
"Brownsville-Harlingen, TX Metro Area, Texas",,0,4,-4,429526.37,52669.87718420883,32.7,In-State
"DuBois, PA Micro Area, Pennsylvania",,0,4,-4,78104.87,63194.12664740327,45.4,In-State
"Joplin, MO-KS Metro Area, Kansas",,0,4,-4,209092.17,61781.03896041164,38.3,In-State
"Lafayette, LA Metro Area, Louisiana",,0,4,-4,436301.27,61062.43213896159,37.3,In-State
"New Bern, NC Micro Area, North Carolina",,0,4,-4,131657.07,64057.71017178112,41,In-State
"Odessa, TX Metro Area, Texas",,0,4,-4,178595.91,70908.18341811874,31.4,In-State
"Raleigh-Cary, NC Metro Area, North Carolina",,5,9,-4,1561092.81,100113.65923280428,37.6,In-State
"Sweetwater, TX Micro Area, Texas",,0,4,-4,15313.33,50938.445229520614,39.3,In-State
"Amarillo, TX Metro Area, Texas",,0,5,-5,279054.02,70229.14137251415,36.3,In-State
"El Paso, TX Metro Area, Texas",,4,9,-5,863959.74,59754.38557953606,33.6,In-State
"Fallon, NV Micro Area, Nevada",,0,5,-5,27331.84,78997.0351805038,40.4,In-State
"Gettysburg, PA Metro Area, Pennsylvania",,0,5,-5,102673.17,83653.75754578365,43.7,In-State
"Indiana, PA Micro Area, Pennsylvania",,0,5,-5,83808.02,60208.0305163161,40,In-State
"La Grande, OR Micro Area, Oregon",,17,22,-5,27614.41,65572.16508638384,40,In-State
"Lancaster, PA Metro Area, Pennsylvania",,0,5,-5,562726.21,87635.27705680722,39.4,In-State
"Rapid City, SD Metro Area, South Dakota",,0,5,-5,160048.07,75257.72618219133,40.6,In-State
"Scranton--Wilkes-Barre, PA Metro Area, Pennsylvania",,0,5,-5,564314.11,65711.35730109822,42.1,In-State
"Shelton, WA Micro Area, Washington",,0,5,-5,70508.73,83438.62962903362,44.7,In-State
"York-Hanover, PA Metro Area, Pennsylvania",,0,5,-5,469202.17,85271.51253275147,41.1,In-State
"Baltimore-Columbia-Towson, MD Metro Area, Maryland",,0,6,-6,2888297.3,99561.36291814121,39,In-State
